"","Kingdom","Phylum","Class","Order","Family","Genus","Scientific.Name"
"185","Animalia","Chordata","Mammalia","Carnivora","Hyaenidae","Hyaena","Hyaena brunnea"
"186","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"187","Animalia","Chordata","Mammalia","Carnivors","Canidae","Canis","Canis lupus"
"188","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Melopsittacus","Melopsittacus undulatus"
"189","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Syncerus","Syncerus caffer"
"190","Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus Leucas"
"191","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"192","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"193","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates catesbeianus"
"194","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"195","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis catus"
"196","Animalia","Chordata","Reptilia","Squamata","Pythonidae","Python","Python bivittatus"
"197","Animalia","Chordata","Aves","Strigiformes","Strigidae","Athene","Athene cunicularia"
"198","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus","Peromyscus erimicus"
"199","Animalia","Chordata","Amphibia","Gymnophiona","Caecilidae","Caecilia Linnaeus","Apoda"
"200","Animalia","Chordata","Reptilia","Crocodilia","Alligatoridae","Caimaninae","Caiman crocodilus, Melanosuchus niger, Caiman yacare, Paleosuchus palpebrosus, Paleosuchus trigonatus, Caiman latirostris"
"201","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"202","Animalia","Chordata","Mammalia","Artiodactyla","Camelidae","Camelus","Camelus dromedarius"
"203","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"204","Animalia","Chordata","Mammalia","Carnivora","Felidae","Lynx","Lynx canadensis"
"205","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"206","Animalia","Chordata","Mammalia","Perissodactyla","Equidae","Equus","Equus ferus caballus"
"207","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"208","Animalia","Chordata","Mammalia","Carnivora","Felidae","Panthera","Panthera leo melanochaitus"
"209","Animalia","Chordata","Mammalia","Rodentia","Caviidae","Hydrochoerus","Hydrochoerus hydrochaeris"
"210","Animalia","Chordata","Mammalia","Carnivora","Felidae","Caracal","Caracal Caracal"
"211","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Rangifer","Rangifer tarandus"
"212","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"213","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","+Conuropsis","+Conuropsis carolinensis"
"214","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Capra","Capra aegagrus hircus"
"215","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"216","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"217","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"218","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"219","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"220","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"221","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"222","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Rupicapra","Rupicapra rupicapra"
"223","Animalia","Chordata","Mammalia","Carnivora","Feliformia","Felis","Felis catus"
"224","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"225","Animalia","Chordata","Mammalia","Carnivora","Felidae","Acinonyx","Acinonyx jubatus"
